Class,Accuracy,F1_Score
0,0.1,0.14285714285714285
1,1.0,0.8
2,0.5,0.6666666666666666
3,0.9285714285714286,0.7878787878787878
4,1.0,0.5
5,1.0,0.9333333333333333
6,1.0,0.6666666666666666
7,0.4,0.5714285714285714
8,0.375,0.4
9,0.0,0.0
10,0.1111111111111111,0.16666666666666666
11,1.0,0.6666666666666666
12,0.5555555555555556,0.7142857142857143
13,0.9230769230769231,0.8275862068965517
14,0.25,0.4
15,0.8,0.7692307692307693
16,0.8,0.64
17,0.0,0.0
