Class,Accuracy,F1_Score
0,0.3,0.11538461538461539
1,0.5,0.5
2,0.25,0.4
3,0.35714285714285715,0.47619047619047616
4,1.0,0.6666666666666666
5,0.8571428571428571,0.9230769230769231
6,1.0,0.08333333333333333
7,0.4,0.5714285714285714
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,1.0,0.6666666666666666
12,0.1111111111111111,0.2
13,0.5384615384615384,0.56
14,0.25,0.4
15,0.4,0.5405405405405406
16,0.9,0.782608695652174
17,0.0,0.0
